fare_id,route_id,origin_id,destination_id,contains_id
L353,12,,,
L353,14,,,
L353,18,,,
L353,19,,,
L353,1T,,,
L353,200,,,
L353,210,,,
L353,211,,,
L353,216,,,
L353,22,,,
L353,231,,,
L353,239,,,
L353,251,,,
L353,27,,,
L353,28,,,
L353,281,,,
L353,30,,,
L353,31,,,
L353,34,,,
L353,35,,,
L353,36,,,
L353,40,,,
L353,41,,,
L353,45,,,
L353,46L,,,
L353,51A,,,
L353,51B,,,
L353,52,,,
L353,54,,,
L353,56,,,
L353,57,,,
L353,6,,,
L353,60,,,
L353,62,,,
L353,620,,,
L353,627,,,
L353,629,,,
L353,65,,,
L353,67,,,
L353,7,,,
L353,70,,,
L353,701,,,
L353,702,,,
L353,703,,,
L353,71,,,
L353,72,,,
L353,72L,,,
L353,72M,,,
L353,73,,,
L353,74,,,
L353,76,,,
TL361,800,,,E
TL361,800,,,W
L353_E,800,,,E
L353_W,800,,,W
L353,801,,,
L353,802,,,
L353,805,,,
L353,840,,,
L353,851,,,
L353,86,,,
L353,88,,,
L353,9,,,
L353,90,,,
L353,93,,,
L353,95,,,
L353,96,,,
L353,97,,,
L353,98,,,
TL361,E,,,E
TL361,E,,,W
L353_E,E,,,E
L353_W,E,,,W
TL361,F,,,E
TL361,F,,,W
L353_E,F,,,E
L353_W,F,,,W
T361,FS,,,
T361,G,,,
T361,J,,,
T361,L,,,
TL361,NL,,,E
TL361,NL,,,W
L353_E,NL,,,E
L353_W,NL,,,W
T361,NX,,,
T361,NX3,,,
TL361,O,,,E
TL361,O,,,W
L353_E,O,,,E
L353_W,O,,,W
T361,P,,,
T361,U,,,
T361,V,,,
T361,W,,,
